Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Sat Dec 16 2023,7:00p,Philadelphia 76ers,135,Charlotte Hornets,82,Box Score,,17829,Spectrum Center,
Sat Dec 16 2023,7:30p,Atlanta Hawks,119,Cleveland Cavaliers,127,Box Score,,19432,Rocket Mortgage Fieldhouse,
Sat Dec 16 2023,8:00p,Chicago Bulls,116,Miami Heat,118,Box Score,,19815,Kaseya Center,
Sat Dec 16 2023,8:00p,Indiana Pacers,109,Minnesota Timberwolves,127,Box Score,,18024,Target Center,
Sat Dec 16 2023,8:30p,Brooklyn Nets,120,Golden State Warriors,124,Box Score,,18064,Chase Center,
Sat Dec 16 2023,9:00p,Oklahoma City Thunder,118,Denver Nuggets,117,Box Score,,19611,Ball Arena,
Sat Dec 16 2023,9:00p,Dallas Mavericks,131,Portland Trail Blazers,120,Box Score,,18439,Moda Center,
Sat Dec 16 2023,10:00p,Utah Jazz,104,Sacramento Kings,125,Box Score,,17794,Golden 1 Center,
Sat Dec 16 2023,10:30p,New York Knicks,122,Los Angeles Clippers,144,Box Score,,19370,Crypto.com Arena,
Sun Dec 17 2023,3:00p,Orlando Magic,97,Boston Celtics,114,Box Score,,19156,TD Garden,
Sun Dec 17 2023,3:30p,New Orleans Pelicans,146,San Antonio Spurs,110,Box Score,,18354,Frost Bank Center,
Sun Dec 17 2023,7:00p,Houston Rockets,119,Milwaukee Bucks,128,Box Score,,17341,Fiserv Forum,
Sun Dec 17 2023,8:00p,Washington Wizards,108,Phoenix Suns,112,Box Score,,17071,Footprint Center,
Sun Dec 17 2023,9:00p,Golden State Warriors,118,Portland Trail Blazers,114,Box Score,,18547,Moda Center,
Mon Dec 18 2023,7:00p,Houston Rockets,130,Cleveland Cavaliers,135,Box Score,OT,19432,Rocket Mortgage Fieldhouse,
Mon Dec 18 2023,7:00p,Los Angeles Clippers,151,Indiana Pacers,127,Box Score,,16665,Gainbridge Fieldhouse,
Mon Dec 18 2023,7:00p,Chicago Bulls,108,Philadelphia 76ers,104,Box Score,,19773,Wells Fargo Center,
Mon Dec 18 2023,7:30p,Detroit Pistons,124,Atlanta Hawks,130,Box Score,,17664,State Farm Arena,
Mon Dec 18 2023,7:30p,Minnesota Timberwolves,112,Miami Heat,108,Box Score,,19819,Kaseya Center,
Mon Dec 18 2023,7:30p,Charlotte Hornets,99,Toronto Raptors,114,Box Score,,19288,Scotiabank Arena,
Mon Dec 18 2023,8:00p,Memphis Grizzlies,97,Oklahoma City Thunder,116,Box Score,,16409,Paycom Center,
