Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Sun Jan 14 2024,9:00p,Phoenix Suns,,Portland Trail Blazers,,,,,Moda Center,
Mon Jan 15 2024,1:00p,Houston Rockets,,Philadelphia 76ers,,,,,Wells Fargo Center,
Mon Jan 15 2024,2:30p,New Orleans Pelicans,,Dallas Mavericks,,,,,American Airlines Center,
Mon Jan 15 2024,3:00p,Orlando Magic,,New York Knicks,,,,,Madison Square Garden (IV),
Mon Jan 15 2024,3:00p,Detroit Pistons,,Washington Wizards,,,,,Capital One Arena,
Mon Jan 15 2024,3:30p,San Antonio Spurs,,Atlanta Hawks,,,,,State Farm Arena,
Mon Jan 15 2024,6:00p,Golden State Warriors,,Memphis Grizzlies,,,,,FedEx Forum,
Mon Jan 15 2024,7:00p,Chicago Bulls,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Mon Jan 15 2024,7:30p,Miami Heat,,Brooklyn Nets,,,,,Barclays Center,
Mon Jan 15 2024,7:30p,Boston Celtics,,Toronto Raptors,,,,,Scotiabank Arena,
Mon Jan 15 2024,9:00p,Indiana Pacers,,Utah Jazz,,,,,Delta Center,
Mon Jan 15 2024,10:30p,Oklahoma City Thunder,,Los Angeles Lakers,,,,,Crypto.com Arena,
Tue Jan 16 2024,7:30p,Denver Nuggets,,Philadelphia 76ers,,,,,Wells Fargo Center,
Tue Jan 16 2024,9:00p,Sacramento Kings,,Phoenix Suns,,,,,Footprint Center,
Tue Jan 16 2024,10:00p,Oklahoma City Thunder,,Los Angeles Clippers,,,,,Crypto.com Arena,
Wed Jan 17 2024,7:00p,Minnesota Timberwolves,,Detroit Pistons,,,,,Little Caesars Arena,
Wed Jan 17 2024,7:30p,Orlando Magic,,Atlanta Hawks,,,,,State Farm Arena,
Wed Jan 17 2024,7:30p,San Antonio Spurs,,Boston Celtics,,,,,TD Garden,
Wed Jan 17 2024,7:30p,Milwaukee Bucks,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Wed Jan 17 2024,7:30p,Houston Rockets,,New York Knicks,,,,,Madison Square Garden (IV),
Wed Jan 17 2024,7:30p,Miami Heat,,Toronto Raptors,,,,,Scotiabank Arena,
Wed Jan 17 2024,8:00p,Charlotte Hornets,,New Orleans Pelicans,,,,,Smoothie King Center,
Wed Jan 17 2024,8:30p,Dallas Mavericks,,Los Angeles Lakers,,,,,Crypto.com Arena,
Wed Jan 17 2024,9:00p,Golden State Warriors,,Utah Jazz,,,,,Delta Center,
Wed Jan 17 2024,10:00p,Brooklyn Nets,,Portland Trail Blazers,,,,,Moda Center,
Thu Jan 18 2024,7:30p,Washington Wizards,,New York Knicks,,,,,Madison Square Garden (IV),
Thu Jan 18 2024,7:30p,Chicago Bulls,,Toronto Raptors,,,,,Scotiabank Arena,
Thu Jan 18 2024,9:00p,Oklahoma City Thunder,,Utah Jazz,,,,,Delta Center,
Thu Jan 18 2024,10:00p,Memphis Grizzlies,,Minnesota Timberwolves,,,,,Target Center,
Thu Jan 18 2024,10:00p,Indiana Pacers,,Sacramento Kings,,,,,Golden 1 Center,
Fri Jan 19 2024,7:00p,San Antonio Spurs,,Charlotte Hornets,,,,,Spectrum Center,
Fri Jan 19 2024,7:00p,Philadelphia 76ers,,Orlando Magic,,,,,Amway Center,
Fri Jan 19 2024,7:30p,Denver Nuggets,,Boston Celtics,,,,,TD Garden,
Fri Jan 19 2024,8:00p,Atlanta Hawks,,Miami Heat,,,,,Kaseya Center,
Fri Jan 19 2024,8:00p,Phoenix Suns,,New Orleans Pelicans,,,,,Smoothie King Center,
Fri Jan 19 2024,10:00p,Dallas Mavericks,,Golden State Warriors,,,,,Chase Center,
Fri Jan 19 2024,10:00p,Indiana Pacers,,Portland Trail Blazers,,,,,Moda Center,
Fri Jan 19 2024,10:30p,Brooklyn Nets,,Los Angeles Lakers,,,,,Crypto.com Arena,
Sat Jan 20 2024,3:00p,Milwaukee Bucks,,Detroit Pistons,,,,,Little Caesars Arena,
Sat Jan 20 2024,7:00p,Philadelphia 76ers,,Charlotte Hornets,,,,,Spectrum Center,
Sat Jan 20 2024,7:00p,San Antonio Spurs,,Washington Wizards,,,,,Capital One Arena,
Sat Jan 20 2024,7:30p,Cleveland Cavaliers,,Atlanta Hawks,,,,,State Farm Arena,
Sat Jan 20 2024,7:30p,Toronto Raptors,,New York Knicks,,,,,Madison Square Garden (IV),
Sat Jan 20 2024,8:00p,Memphis Grizzlies,,Chicago Bulls,,,,,United Center,
Sat Jan 20 2024,8:00p,Utah Jazz,,Houston Rockets,,,,,Toyota Center,
Sat Jan 20 2024,8:00p,Oklahoma City Thunder,,Minnesota Timberwolves,,,,,Target Center,
Sun Jan 21 2024,3:30p,Brooklyn Nets,,Los Angeles Clippers,,,,,Crypto.com Arena,
Sun Jan 21 2024,6:00p,Miami Heat,,Orlando Magic,,,,,Amway Center,
Sun Jan 21 2024,6:00p,Denver Nuggets,,Washington Wizards,,,,,Capital One Arena,
Sun Jan 21 2024,7:00p,Boston Celtics,,Houston Rockets,,,,,Toyota Center,
Sun Jan 21 2024,8:00p,Indiana Pacers,,Phoenix Suns,,,,,Footprint Center,
Sun Jan 21 2024,10:00p,Portland Trail Blazers,,Los Angeles Lakers,,,,,Crypto.com Arena,
Mon Jan 22 2024,7:00p,Milwaukee Bucks,,Detroit Pistons,,,,,Little Caesars Arena,
Mon Jan 22 2024,7:00p,Cleveland Cavaliers,,Orlando Magic,,,,,Amway Center,
Mon Jan 22 2024,7:00p,San Antonio Spurs,,Philadelphia 76ers,,,,,Wells Fargo Center,
Mon Jan 22 2024,7:30p,Memphis Grizzlies,,Toronto Raptors,,,,,Scotiabank Arena,
Mon Jan 22 2024,8:00p,Charlotte Hornets,,Minnesota Timberwolves,,,,,Target Center,
Mon Jan 22 2024,8:30p,Boston Celtics,,Dallas Mavericks,,,,,American Airlines Center,
Mon Jan 22 2024,9:00p,Chicago Bulls,,Phoenix Suns,,,,,Footprint Center,
Mon Jan 22 2024,10:00p,Atlanta Hawks,,Sacramento Kings,,,,,Golden 1 Center,
Tue Jan 23 2024,7:00p,Denver Nuggets,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Tue Jan 23 2024,7:30p,New York Knicks,,Brooklyn Nets,,,,,Barclays Center,
Tue Jan 23 2024,8:00p,Utah Jazz,,New Orleans Pelicans,,,,,Smoothie King Center,
Tue Jan 23 2024,8:00p,Portland Trail Blazers,,Oklahoma City Thunder,,,,,Paycom Center,
Tue Jan 23 2024,10:00p,Los Angeles Lakers,,Los Angeles Clippers,,,,,Crypto.com Arena,
Wed Jan 24 2024,7:00p,Charlotte Hornets,,Detroit Pistons,,,,,Little Caesars Arena,
Wed Jan 24 2024,7:00p,Minnesota Timberwolves,,Washington Wizards,,,,,Capital One Arena,
Wed Jan 24 2024,7:30p,Memphis Grizzlies,,Miami Heat,,,,,Kaseya Center,
Wed Jan 24 2024,8:00p,Portland Trail Blazers,,Houston Rockets,,,,,Toyota Center,
Wed Jan 24 2024,8:00p,Cleveland Cavaliers,,Milwaukee Bucks,,,,,Fiserv Forum,
Wed Jan 24 2024,8:30p,Oklahoma City Thunder,,San Antonio Spurs,,,,,Frost Bank Center,
Wed Jan 24 2024,9:30p,Phoenix Suns,,Dallas Mavericks,,,,,American Airlines Center,
Wed Jan 24 2024,10:00p,Atlanta Hawks,,Golden State Warriors,,,,,Chase Center,
Thu Jan 25 2024,7:00p,Philadelphia 76ers,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Thu Jan 25 2024,7:00p,Utah Jazz,,Washington Wizards,,,,,Capital One Arena,
Thu Jan 25 2024,7:30p,Minnesota Timberwolves,,Brooklyn Nets,,,,,Barclays Center,
Thu Jan 25 2024,7:30p,Boston Celtics,,Miami Heat,,,,,Kaseya Center,
Thu Jan 25 2024,7:30p,Denver Nuggets,,New York Knicks,,,,,Madison Square Garden (IV),
Thu Jan 25 2024,10:00p,Sacramento Kings,,Golden State Warriors,,,,,Chase Center,
Thu Jan 25 2024,10:30p,Chicago Bulls,,Los Angeles Lakers,,,,,Crypto.com Arena,
Fri Jan 26 2024,7:00p,Dallas Mavericks,,Atlanta Hawks,,,,,State Farm Arena,
Fri Jan 26 2024,7:00p,Houston Rockets,,Charlotte Hornets,,,,,Spectrum Center,
