Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Mon Nov 20 2023,8:00p,Miami Heat,,Chicago Bulls,,,,,United Center,
Mon Nov 20 2023,8:00p,New York Knicks,,Minnesota Timberwolves,,,,,Target Center,
Mon Nov 20 2023,8:00p,Sacramento Kings,,New Orleans Pelicans,,,,,Smoothie King Center,
Mon Nov 20 2023,8:00p,Los Angeles Clippers,,San Antonio Spurs,,,,,AT&T Center,
Mon Nov 20 2023,10:00p,Houston Rockets,,Golden State Warriors,,,,,Chase Center,
Tue Nov 21 2023,7:00p,Toronto Raptors,,Orlando Magic,,,,,Amway Center,In-Season Tournament
Tue Nov 21 2023,7:30p,Indiana Pacers,,Atlanta Hawks,,,,,State Farm Arena,In-Season Tournament
Tue Nov 21 2023,7:30p,Cleveland Cavaliers,,Philadelphia 76ers,,,,,Wells Fargo Center,In-Season Tournament
Tue Nov 21 2023,9:00p,Portland Trail Blazers,,Phoenix Suns,,,,,Footprint Center,In-Season Tournament
Tue Nov 21 2023,10:00p,Utah Jazz,,Los Angeles Lakers,,,,,Crypto.com Arena,In-Season Tournament
Wed Nov 22 2023,7:00p,Washington Wizards,,Charlotte Hornets,,,,,Spectrum Center,
Wed Nov 22 2023,7:00p,Denver Nuggets,,Orlando Magic,,,,,Amway Center,
Wed Nov 22 2023,7:30p,Brooklyn Nets,,Atlanta Hawks,,,,,State Farm Arena,
Wed Nov 22 2023,7:30p,Milwaukee Bucks,,Boston Celtics,,,,,TD Garden,
Wed Nov 22 2023,7:30p,Miami Heat,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Wed Nov 22 2023,7:30p,Toronto Raptors,,Indiana Pacers,,,,,Gainbridge Fieldhouse,
Wed Nov 22 2023,8:00p,Memphis Grizzlies,,Houston Rockets,,,,,Toyota Center,
Wed Nov 22 2023,8:00p,Philadelphia 76ers,,Minnesota Timberwolves,,,,,Target Center,
Wed Nov 22 2023,8:00p,Sacramento Kings,,New Orleans Pelicans,,,,,Smoothie King Center,
Wed Nov 22 2023,8:00p,Chicago Bulls,,Oklahoma City Thunder,,,,,Paycom Center,
Wed Nov 22 2023,8:00p,Los Angeles Clippers,,San Antonio Spurs,,,,,AT&T Center,
Wed Nov 22 2023,10:00p,Golden State Warriors,,Phoenix Suns,,,,,Footprint Center,
Wed Nov 22 2023,10:00p,Utah Jazz,,Portland Trail Blazers,,,,,Moda Center,
Wed Nov 22 2023,10:30p,Dallas Mavericks,,Los Angeles Lakers,,,,,Crypto.com Arena,
Fri Nov 24 2023,2:30p,Boston Celtics,,Orlando Magic,,,,,Amway Center,In-Season Tournament
Fri Nov 24 2023,5:00p,Phoenix Suns,,Memphis Grizzlies,,,,,FedEx Forum,In-Season Tournament
Fri Nov 24 2023,7:30p,Miami Heat,,New York Knicks,,,,,Madison Square Garden (IV),In-Season Tournament
Fri Nov 24 2023,7:30p,Chicago Bulls,,Toronto Raptors,,,,,Scotiabank Arena,In-Season Tournament
Fri Nov 24 2023,8:00p,Denver Nuggets,,Houston Rockets,,,,,Toyota Center,In-Season Tournament
Fri Nov 24 2023,8:00p,Detroit Pistons,,Indiana Pacers,,,,,Gainbridge Fieldhouse,In-Season Tournament
Fri Nov 24 2023,8:00p,Washington Wizards,,Milwaukee Bucks,,,,,Fiserv Forum,In-Season Tournament
Fri Nov 24 2023,8:00p,Sacramento Kings,,Minnesota Timberwolves,,,,,Target Center,In-Season Tournament
Fri Nov 24 2023,10:00p,San Antonio Spurs,,Golden State Warriors,,,,,Chase Center,In-Season Tournament
Fri Nov 24 2023,10:30p,New Orleans Pelicans,,Los Angeles Clippers,,,,,Crypto.com Arena,In-Season Tournament
Sat Nov 25 2023,5:00p,Philadelphia 76ers,,Oklahoma City Thunder,,,,,Paycom Center,
Sat Nov 25 2023,6:00p,Miami Heat,,Brooklyn Nets,,,,,Barclays Center,
Sat Nov 25 2023,7:00p,Atlanta Hawks,,Washington Wizards,,,,,Capital One Arena,
Sat Nov 25 2023,7:30p,Los Angeles Lakers,,Cleveland Cavaliers,,,,,Rocket Mortgage Fieldhouse,
Sat Nov 25 2023,9:30p,New Orleans Pelicans,,Utah Jazz,,,,,Delta Center,
Sat Nov 25 2023,10:30p,Dallas Mavericks,,Los Angeles Clippers,,,,,Crypto.com Arena,
Sun Nov 26 2023,3:30p,Portland Trail Blazers,,Milwaukee Bucks,,,,,Fiserv Forum,
Sun Nov 26 2023,6:00p,Atlanta Hawks,,Boston Celtics,,,,,TD Garden,
Sun Nov 26 2023,6:00p,Minnesota Timberwolves,,Memphis Grizzlies,,,,,FedEx Forum,
Sun Nov 26 2023,6:00p,Phoenix Suns,,New York Knicks,,,,,Madison Square Garden (IV),
Sun Nov 26 2023,6:00p,Charlotte Hornets,,Orlando Magic,,,,,Amway Center,
Sun Nov 26 2023,7:30p,Chicago Bulls,,Brooklyn Nets,,,,,Barclays Center,
